date,price_inr
2022-08-19,7764.65
2022-08-22,7753.860000000001
2022-08-23,8006.179999999999
2022-08-24,7928.16
2022-08-25,7746.389999999999
2022-08-26,7771.29
2022-08-29,8084.200000000001
2022-08-30,7642.639999999999
2022-08-31,7477.47
2022-09-01,7228.47
2022-09-02,7245.070000000001
2022-09-06,7250.049999999999
2022-09-07,6847.5
2022-09-08,6975.320000000001
2022-09-09,7243.41
2022-09-12,7318.9400000000005
2022-09-13,7290.72
2022-09-14,7377.04
2022-09-15,7114.76
2022-09-16,7102.3099999999995
2022-09-19,7150.450000000001
2022-09-20,7029.2699999999995
2022-09-21,6920.54
2022-09-22,6973.66
2022-09-23,6562.8099999999995
2022-09-26,6405.110000000001
2022-09-27,6549.53
2022-09-28,6856.63
2022-09-29,6787.74
2022-09-30,6632.53
2022-10-03,6976.15
2022-10-04,7210.21
2022-10-05,7322.26
2022-10-06,7378.700000000001
2022-10-07,7724.8099999999995
2022-10-10,7602.799999999999
2022-10-11,7449.25
2022-10-12,7289.889999999999
2022-10-13,7435.97
2022-10-14,7146.299999999999
2022-10-17,7138.0
2022-10-18,6913.070000000001
2022-10-19,7138.0
2022-10-20,7139.66
2022-10-21,7094.01
2022-10-24,7147.96
2022-10-25,7215.1900000000005
2022-10-26,7419.37
2022-10-27,7391.9800000000005
2022-10-28,7291.549999999999
2022-10-31,7182.820000000001
2022-11-01,7333.88
2022-11-02,7474.9800000000005
2022-11-03,7315.62
2022-11-04,7684.139999999999
2022-11-07,7619.4
2022-11-08,7370.4
2022-11-09,7120.570000000001
2022-11-10,7181.16
2022-11-11,7398.62
2022-11-14,7125.549999999999
2022-11-15,7210.21
2022-11-16,7106.46
2022-11-17,6780.2699999999995
2022-11-18,6645.8099999999995
2022-11-21,6618.419999999999
2022-11-22,6708.889999999999
2022-11-23,6468.1900000000005
2022-11-25,6345.35
2022-11-28,6399.299999999999
2022-11-29,6470.679999999999
2022-11-30,6679.84
2022-12-01,6727.9800000000005
2022-12-02,6628.38
2022-12-05,6376.889999999999
2022-12-06,6159.429999999999
2022-12-07,5970.1900000000005
2022-12-08,5917.9
2022-12-09,5897.15
2022-12-12,6055.679999999999
2022-12-13,6261.5199999999995
2022-12-14,6402.62
2022-12-15,6298.87
2022-12-16,6157.7699999999995
2022-12-19,6229.15
2022-12-20,6301.360000000001
2022-12-21,6488.110000000001
2022-12-22,6447.4400000000005
2022-12-23,6604.3099999999995
2022-12-27,6594.35
2022-12-28,6547.87
